full_name,a,e
"1P/Halley",17.8341442925537,0.967142908462304
"2P/Encke",2.215141293583404,.8483360282890077
"3D/Biela",3.53465808340135,0.751299
"4P/Faye",3.83815915788662,.5696175496849397
"5D/Brorsen",3.10112826228681,0.809796
"6P/d'Arrest",3.503683369339459,.6114219228700193
"7P/Pons-Winnecke",3.436123731801235,.634165422724416
"8P/Tuttle",5.6998620708785754374048,0.8197997470243816309221
"9P/Tempel 1",3.145692355253531,.5096307949367873
"10P/Tempel 2",3.066823004474465,.5363058952800283
"11P/Tempel-Swift-LINEAR",3.413801406877804,.54491240285974
"12P/Pons-Brooks",17.121223241407509618738,0.9548123941619716115170
"13P/Olbers",16.9067774347548,0.930297147462082
"14P/Wolf",4.246449643472447,.3575289526732395
"15P/Finlay",3.486709717204069,.7204670323736734
"16P/Brooks 2",3.358221347550548,.5632234095202744
"17P/Holmes",3.619609985314088,.4318134405110877
"18D/Perrine-Mrkos",3.55954221481951,0.642580982439164
"19P/Borrelly",3.609665546424225,.6232892711821078
"20D/Westphal",15.6421524304176,0.919831188993609
"21P/Giacobini-Zinner",3.498093382740213,.7104635508963024
"22P/Kopff",3.459069124451216,.5442128948801156
"23P/Brorsen-Metcalf",17.069206834622299595594,0.9719522579248509597249
"24P/Schaumasse",4.086460844502399,.7048377385790582
"25D/Neujmin 2",3.08916688391109,0.566818596285863
"26P/Grigg-Skjellerup",3.043315833693677,.6330527671345312
"27P/Crommelin",9.235960944226864,.9189810923126022
"28P/Neujmin 1",6.915749210007808,.7755788303873927
"29P/Schwassmann-Wachmann 1",5.992079451491323,.0449237182763213
"30P/Reinmuth 1",3.774104374713501,.5016105669476711
"31P/Schwassmann-Wachmann 2",4.23933696968041,.1923166352054672
"32P/Comas Sola",4.510068014450066,.5546485799036236
"33P/Daniel",4.030063617285276,.4623598055003007
"34D/Gale",4.9435893,0.760719
"35P/Herschel-Rigollet",28.8435453,0.97405
"36P/Whipple",4.168780439519514,.2591965274932033
"37P/Forbes",3.45599944504109,.534476713071357
"38P/Stephan-Oterma",11.28871412285154,.8592844463213444
"39P/Oterma",7.214035965397565,.2431247686159108
"40P/Vaisala 1",4.939864962861835,.6316152020645802
"41P/Tuttle-Giacobini-Kresak",3.085003278874254,.6612506884287184
"42P/Neujmin 3",4.876460018192112,.5841747519155726
"43P/Wolf-Harrington",3.350102994696103,.5949096247356784
"44P/Reinmuth 2",3.6889069943262,.4283337284041179
"45P/Honda-Mrkos-Pajdusakova",3.025175757508482,.8239728768241841
"46P/Wirtanen",3.092704238742165,.6587595570783943
"47P/Ashbrook-Jackson",4.127282221630924,.3171652868720478
"48P/Johnson",3.64209653546085,.367807917750657
"49P/Arend-Rigaux",3.563824116053073,.6004829876132673
"50P/Arend",4.088133046971167,.5298191651919552
"51P/Harrington",3.71446643000283,.542437041421476
"51P/Harrington-A",3.580672324457032,.5620663599153678
"51P/Harrington-D",3.678826527281956,.5524980225643705
"52P/Harrington-Abell",3.857849696139989,.5403891098664094
"53P/Van Biesbroeck",5.404500638380561,.5510744634278288
"54P/de Vico-Swift-NEAT",3.7904782930723568412645,0.4270474945217546114406
"55P/Tempel-Tuttle",10.3383382297577,0.905552720972412
"56P/Slaughter-Burnham",5.085994723884396,.5073072932202485
"57P/duToit-Neujmin-Delporte",3.452538989318305,.4992889286810742
"57P/duToit-Neujmin-Delporte-A",3.45215357827758,0.499040120360139
"58P/Jackson-Neujmin",4.08035723716121,0.661506727386572
"59P/Kearns-Kwee",4.491045484722218,.4763732522282405
"60P/Tsuchinshan 2",3.509603648442876,.5385486170391682
"61P/Shajn-Schaldach",3.681302036331112,.4266921436652285
"62P/Tsuchinshan 1",3.442497640385004,.5979411910839181
"63P/Wild 1",5.587749927389681,.6509190323024351
"64P/Swift-Gehrels",4.45615537651515,.6873194552330496
"65P/Gunn",3.883361847609942,.2505492632454747
"66P/du Toit",6.022772962563499,.7865681713017859
"67P/Churyumov-Gerasimenko",3.46473701803964,.6405847372930017
"68P/Klemola",4.896794966660515,.6391125084413184
"69P/Taylor",3.88877391383233,.4136650161807651
"70P/Kojima",3.676590879308983,.4525547991219228
"71P/Clark",3.137154706747789,.4943781414695106
"72P/Denning-Fujikawa",4.336084232317145,.8191545266363583
"73P/Schwassmann-Wachmann 3",3.091427320901925,.6855247615486663
"73P/Schwassmann-Wachmann 3-B",3.0618412252795819128437,0.6932855208263886126474
"73P/Schwassmann-Wachmann 3-C",3.063468722115394,.6922258013072282
"73P/Schwassmann-Wachmann 3-E",3.06229329930756,0.6938774627627
"73P/Schwassmann-Wachmann 3-G",3.06335181161612,0.693412971192622
"73P/Schwassmann-Wachmann 3-H",3.06483261003617,0.693565806671118
"73P/Schwassmann-Wachmann 3-J",3.04420865724153,0.691538816676964
"73P/Schwassmann-Wachmann 3-K",3.06430700077958,0.693543485158215
"73P/Schwassmann-Wachmann 3-L",3.07631556437795,0.694735674965028
"73P/Schwassmann-Wachmann 3-M",3.06835160960417,0.693940938277251
"73P/Schwassmann-Wachmann 3-N",3.05239117034204,0.692288993783599
"73P/Schwassmann-Wachmann 3-P",3.08503544059736,0.695575899386973
"73P/Schwassmann-Wachmann 3-Q",3.11832472400051,0.698647244447971
"73P/Schwassmann-Wachmann 3-R",3.06994234287616,0.694088213263508
"73P/Schwassmann-Wachmann 3-S",3.3340747694428,0.69335823324
"73P/Schwassmann-Wachmann 3-T",3.26075831524011,0.711932414090286
"73P/Schwassmann-Wachmann 3-U",3.02441289019931,0.689397458779432
"73P/Schwassmann-Wachmann 3-V",2.97607817120721,0.69348697056495
"73P/Schwassmann-Wachmann 3-W",3.10529750382754,0.697573249761406
"73P/Schwassmann-Wachmann 3-X",3.07645099021487,0.694751288807723
"73P/Schwassmann-Wachmann 3-Y",3.34821195686902,0.719502303654523
"73P/Schwassmann-Wachmann 3-Z",3.07211624836372,0.69335823324
"73P/Schwassmann-Wachmann 3-AA",2.94109009142002,0.680633878945504
"73P/Schwassmann-Wachmann 3-AB",3.04180282124803,0.691246808725753
